"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2018","1.9780","1.9957","2.0078","1.9678","-","-2.98%"
"Jun 08, 2018","2.0387","2.0434","2.0881","2.0159","-","-1.38%"
"Jun 07, 2018","2.0672","2.0862","2.1033","2.0529","-","1.26%"
"Jun 06, 2018","2.0415","2.0253","2.0832","2.0195","-","1.90%"
"Jun 05, 2018","2.0035","2.0117","2.0363","2.0025","-","0.93%"
"Jun 04, 2018","1.9851","2.0229","2.0248","1.9778","-","-3.42%"
"Jun 01, 2018","2.0553","2.0425","2.0739","2.0356","-","-0.57%"
"May 31, 2018","2.0670","2.0464","2.0877","2.0395","-","0.81%"
"May 30, 2018","2.0503","2.0720","2.0798","2.0287","-","-2.70%"
"May 29, 2018","2.1073","2.1672","2.1682","2.0886","-","-1.20%"
"May 25, 2018","2.1328","2.1073","2.1387","2.0994","-","2.40%"
"May 24, 2018","2.0828","2.1260","2.1407","2.0798","-","-0.14%"
"May 23, 2018","2.0857","2.0386","2.0867","2.0376","-","1.82%"
"May 22, 2018","2.0484","2.0248","2.0828","2.0248","-","2.81%"
"May 21, 2018","1.9924","2.0454","2.0513","1.9806","-","-2.12%"
"May 18, 2018","2.0356","1.9836","2.0376","1.9738","-","4.17%"
"May 17, 2018","1.9541","1.9816","1.9826","1.9492","-","0.65%"
"May 16, 2018","1.9414","1.9482","1.9590","1.9296","-","0.15%"
"May 15, 2018","1.9384","1.9364","1.9433","1.9099","-","0.46%"
"May 14, 2018","1.9296","1.9394","1.9463","1.9256","-","-1.50%"
"May 11, 2018","1.9590","1.9777","1.9806","1.9522","-","-1.53%"
"May 10, 2018","1.9895","2.0150","2.0160","1.9669","-","-0.78%"
"May 09, 2018","2.0052","2.0032","2.0219","1.9885","-","1.15%"
"May 08, 2018","1.9824","1.9651","2.0027","1.9612","-","0.58%"
"May 07, 2018","1.9709","1.9930","2.0065","1.9670","-","-2.80%"
"May 04, 2018","2.0277","2.0451","2.0528","2.0171","-","-2.19%"
